{x=1344,m=7,a=841,s=655}
{x=1936,m=84,a=2290,s=1447}
{x=877,m=1088,a=1209,s=286}
{x=905,m=1204,a=540,s=2556}
{x=505,m=1002,a=1827,s=1102}
{x=250,m=881,a=1345,s=1985}
{x=843,m=40,a=1618,s=1871}
{x=485,m=1375,a=598,s=67}
{x=40,m=1653,a=414,s=389}
{x=598,m=320,a=202,s=2110}
{x=1161,m=1336,a=1170,s=632}
{x=487,m=227,a=234,s=2130}
{x=157,m=654,a=1779,s=1091}
{x=372,m=1982,a=238,s=131}
{x=2305,m=1274,a=1266,s=2316}
{x=280,m=13,a=3000,s=2368}
{x=2114,m=3767,a=900,s=992}
{x=2981,m=1005,a=1574,s=735}
{x=2103,m=690,a=1271,s=2328}
{x=175,m=1216,a=152,s=215}
{x=39,m=1554,a=1293,s=3521}
{x=1504,m=1077,a=517,s=619}
{x=2679,m=770,a=2796,s=967}
{x=1,m=1854,a=853,s=8}
{x=1538,m=1407,a=873,s=1696}
{x=85,m=2806,a=1525,s=426}
{x=312,m=1626,a=471,s=81}
{x=1428,m=656,a=485,s=1373}
{x=204,m=430,a=2401,s=744}
{x=2908,m=333,a=1120,s=72}
{x=142,m=382,a=1228,s=12}
{x=1132,m=2874,a=290,s=1321}
{x=1048,m=1243,a=722,s=1280}
{x=1502,m=278,a=905,s=210}
{x=2785,m=676,a=423,s=2215}
{x=1081,m=211,a=334,s=803}
{x=910,m=20,a=621,s=378}
{x=48,m=1739,a=324,s=1457}
{x=567,m=905,a=1612,s=491}
{x=2625,m=1047,a=631,s=521}
{x=1877,m=1100,a=2296,s=994}
{x=610,m=369,a=781,s=126}
{x=2296,m=3098,a=759,s=627}
{x=2390,m=1107,a=699,s=408}
{x=187,m=2415,a=1346,s=493}
{x=972,m=73,a=724,s=928}
{x=1043,m=118,a=64,s=653}
{x=620,m=537,a=2541,s=150}
{x=918,m=160,a=53,s=230}
{x=313,m=655,a=2019,s=128}
{x=1373,m=615,a=1832,s=1137}
{x=191,m=1495,a=476,s=267}
{x=646,m=458,a=2324,s=26}
{x=58,m=157,a=2613,s=781}
{x=272,m=294,a=2026,s=1422}
{x=7,m=313,a=213,s=789}
{x=352,m=75,a=2648,s=437}
{x=193,m=1677,a=160,s=1863}
{x=1188,m=832,a=757,s=334}
{x=563,m=312,a=1435,s=20}
{x=940,m=558,a=954,s=557}
{x=567,m=899,a=829,s=2068}
{x=657,m=168,a=204,s=1320}
{x=2212,m=2918,a=461,s=428}
{x=149,m=898,a=6,s=981}
{x=363,m=1021,a=852,s=2766}
{x=18,m=131,a=290,s=534}
{x=1502,m=37,a=1440,s=579}
{x=87,m=86,a=495,s=1699}
{x=668,m=1952,a=742,s=902}
{x=300,m=1201,a=835,s=385}
{x=2798,m=206,a=1230,s=548}
{x=577,m=718,a=31,s=2703}
{x=33,m=1952,a=360,s=827}
{x=1320,m=2522,a=15,s=810}
{x=288,m=505,a=308,s=2551}
{x=1850,m=2090,a=3001,s=313}
{x=814,m=185,a=792,s=320}
{x=675,m=1278,a=3606,s=2682}
{x=85,m=120,a=2269,s=1983}
{x=86,m=159,a=1858,s=2377}
{x=2523,m=797,a=2783,s=1324}
{x=270,m=600,a=62,s=39}
{x=650,m=1989,a=1351,s=470}
{x=1533,m=297,a=3,s=2810}
{x=3115,m=1584,a=357,s=1250}
